NAME,WIDTH,HEIGHT,QP,MODE,DEPTH,HOR_TR,VER_TR
1.bin,132,132,32
2.bin,132,132,22
3.bin,132,132,22
4.bin,132,132,37
5.bin,132,132,27
6.bin,132,132,22
7.bin,132,132,22
8.bin,132,132,32
9.bin,132,132,27
10.bin,132,132,32
11.bin,132,132,37
12.bin,132,132,27
13.bin,132,132,22
14.bin,132,132,22
15.bin,132,132,32
16.bin,132,132,37
17.bin,132,132,37
18.bin,132,132,27
19.bin,132,132,32
20.bin,132,132,22
21.bin,132,132,27
22.bin,132,132,22
23.bin,132,132,32
24.bin,132,132,37
25.bin,132,132,32
26.bin,132,132,37
27.bin,132,132,27
28.bin,132,132,22
29.bin,132,132,22
30.bin,132,132,22
31.bin,132,132,32
32.bin,132,132,27
33.bin,132,132,32
34.bin,132,132,37
35.bin,132,132,37
36.bin,132,132,22
37.bin,132,132,27
38.bin,132,132,22
39.bin,132,132,32
40.bin,132,132,22
41.bin,132,132,27
42.bin,132,132,37
43.bin,132,132,27
44.bin,132,132,37
45.bin,132,132,22
46.bin,132,132,32
47.bin,132,132,32
48.bin,132,132,22
49.bin,132,132,22
50.bin,132,132,27
51.bin,132,132,37
52.bin,132,132,27
53.bin,132,132,37
54.bin,132,132,32
55.bin,132,132,22
56.bin,132,132,22
57.bin,132,132,22
58.bin,132,132,32
59.bin,132,132,27
60.bin,132,132,37
61.bin,132,132,37
62.bin,132,132,27
63.bin,132,132,32
64.bin,132,132,22
65.bin,132,132,22
66.bin,132,132,37
67.bin,132,132,27
68.bin,132,132,32
69.bin,132,132,27
70.bin,132,132,22
71.bin,132,132,37
72.bin,132,132,32
73.bin,132,132,22
74.bin,132,132,22
75.bin,132,132,37
76.bin,132,132,32
77.bin,132,132,32
78.bin,132,132,27
79.bin,132,132,37
80.bin,132,132,22
81.bin,132,132,27
82.bin,132,132,22
83.bin,132,132,22
84.bin,132,132,37
85.bin,132,132,32
86.bin,132,132,27
87.bin,132,132,37
88.bin,132,132,27
89.bin,132,132,32
90.bin,132,132,22
91.bin,132,132,22
92.bin,132,132,22
93.bin,132,132,37
94.bin,132,132,37
95.bin,132,132,32
96.bin,132,132,27
97.bin,132,132,32
98.bin,132,132,27
99.bin,132,132,22
100.bin,132,132,22
101.bin,132,132,37
102.bin,132,132,27
103.bin,132,132,37
104.bin,132,132,22
105.bin,132,132,32
106.bin,132,132,32
107.bin,132,132,27
108.bin,132,132,22
109.bin,132,132,22
110.bin,132,132,37
111.bin,132,132,37
112.bin,132,132,32
113.bin,132,132,32
114.bin,132,132,27
115.bin,132,132,22
116.bin,132,132,22
117.bin,132,132,27
118.bin,132,132,22
119.bin,132,132,37
120.bin,132,132,37
121.bin,132,132,22
122.bin,132,132,22
123.bin,132,132,32
124.bin,132,132,32
125.bin,132,132,27
126.bin,132,132,27
127.bin,132,132,22
128.bin,132,132,37
129.bin,132,132,37
130.bin,132,132,22
131.bin,132,132,32
132.bin,132,132,32
133.bin,132,132,27
134.bin,132,132,22
135.bin,132,132,27
136.bin,132,132,22
137.bin,132,132,22
138.bin,132,132,37
139.bin,132,132,32
140.bin,132,132,37
141.bin,132,132,27
142.bin,132,132,22
143.bin,132,132,22
144.bin,132,132,27
145.bin,132,132,32
146.bin,132,132,22
147.bin,132,132,27
148.bin,132,132,37
149.bin,132,132,22
150.bin,132,132,22
151.bin,132,132,32
152.bin,132,132,32
153.bin,132,132,37
154.bin,132,132,27
155.bin,132,132,27
156.bin,132,132,22
157.bin,132,132,37
158.bin,132,132,22
159.bin,132,132,37
160.bin,132,132,22
161.bin,132,132,32
